pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000212585034013605	0.000761823500731351	-0.569590274746442	-2.69843137174553	0	190	MLPH|TFF3|CA12|THSD4|XBP1|TFF1|SLC22A5|ANXA9|SYBU|MAPT|WFS1|AR|KCNK15|ABAT|GREB1|RARA|GFRA1|ADCY9|SLC7A2|PGR|IGFBP4|REEP1|KDM4B|LRIG1|SEMA3B|SLC39A6|SCNN1A|PEX11A|BCL2|MYB|CELSR1|BHLHE40|RET|ELOVL5|MAST4|TTC39A|ARL3|RAB17|IGF1R|ITPK1|CISH|PDZK1|CCND1|STC2|SLC19A2|MREG|AFF1|CBFA2T3|BLVRB|DHRS2|TPBG|ADCY1|NRIP1|TOB1|SLC27A2|PRSS23|SULT2B1|KRT18|ELOVL2|HSPB8|ABCA3|UGCG|OLFM1|MYOF|IL6ST|AMFR|EGR3|FASN|SEC14L2|OLFML3|MED13L|P2RY2|BAG1|SLC1A4|SIAH2|GJA1|TIPARP|TJP3|ABHD2|NBL1|FOS|CALCR|AREG|MUC1|CXCL12|CANT1|ASB13|RAB31|NADSYN1|ELF1|SNX24|FLNB|KLF4|MSMB|DYNLT3|RPS6KA2|KRT8|SLC1A1|CELSR2|RAPGEFL1|UNC119|NPY1R
HALLMARK_ESTROGEN_RESPONSE_LATE	0.000213310580204778	0.000761823500731351	-0.446581581467124	-2.12004977378089	0	193	TFF3|CA12|AGR2|XBP1|TFF1|SLC22A5|ANXA9|SCUBE2|CACNA2D2|MAPT|WFS1|RABEP1|ACOX2|DNAJC12|PGR|IGFBP4|SEMA3B|SCNN1A|BCL2|MYB|RET|TPSAB1|ELOVL5|PTGER3|TSPAN13|SERPINA5|CPE|ARL3|ITPK1|CISH|PDZK1|CCND1|HMGCS2|AFF1|BLVRB|UGDH|DHRS2|TPBG|NRIP1|TOB1|SLC27A2|PRSS23|CHST8|SULT2B1|HSPB8|ABCA3|CXCL14|OLFM1|MYOF|CYP4F11|IL6ST|AMFR|EGR3|ST6GALNAC2|DCXR|DLG5|ALDH3A2|SLC2A8|EMP2|BAG1|SLC1A4|DNAJC1|SIAH2|PRLR|MOCS2|BATF|TJP3|ABHD2|NBL1|SORD|FOS|COX6C|CALCR|AREG|CXCL12|PDCD4|RAB31|PLXNB1|FLNB|KLF4|DYNLT3|FGFR3|RPS6KA2|ASCL1|METTL3|CELSR2|RAPGEFL1|NPY1R|PLAC1|ZFP36
HALLMARK_BILE_ACID_METABOLISM	0.000208899101733863	0.000761823500731351	-0.411245990380361	-1.80627398875928	0	112	NUDT12|AR|HSD17B4|ABCA2|EFHC1|PEX11A|CROT|PEX11G|PEX12|RXRA|SLC22A18|GNMT|SLC23A1|SLC27A2|SULT2B1|PEX19|ABCA3|RETSAT|PEX7|LIPE|PAOX|DIO1|SERPINA6|HSD3B7|DHCR24|BCAR3|FDXR|AMACR|PECR|ABCA8|ABCA9|NEDD4|EPHX2|ABCD3|RXRG|CYP46A1
HALLMARK_XENOBIOTIC_METABOLISM	0.00127496812579686	0.00374990625234369	-0.322158625601877	-1.53322434933892	5	196	ESR1|FBP1|CSAD|ACOX2|IGFBP4|TMBIM6|MCCC2|CYB5A|FAH|ELOVL5|CROT|MPP2|BLVRB|UGDH|GNMT|NINJ1|RETSAT|ACSM1|ETFDH|GSTM4|DCXR|SERPINA6|PINK1|PDK4|ENTPD5|DHPS|NQO1|PTGR1|CYP2E1|MAOA|F10|CYP26A1|SAR1B|LEAP2|ASL|TAT|IGF1|CFB|CES1|ADH1C|ARPP19|ACOX3|CD36|AOX1|ATOH8|DHRS7|SLC46A3|HACL1|DHRS1|SLC35D1|EPHX1|ECH1|ABCC3|MAN1A1|GSS|ALDH2|SERTAD1|GSTT2|CDO1|ITIH4|ABHD6|CYFIP2|CAT|NFS1|VTN
HALLMARK_MYOGENESIS	0.00191367212417606	0.00503597927414752	-0.31740768543098	-1.51133336779565	8	197	SPDEF|ADCY9|OCEL1|REEP1|ITGB5|PPP1R3C|BHLHE40|VIPR1|CACNA1H|KCNH1|HRC|CACNG1|CRAT|STC2|MEF2D|CFD|HSPB8|RB1|CASQ1|LAMA2|COX7A1|PVALB|TSC2|CAMK2B|SGCD|BAG1|DMPK|MYH11|BDKRB2|NQO1|CASQ2|ERBB3|MAPRE3|SGCG|TNNT3|MYL3|PGAM2|IGF1|FKBP1B|MYO1C|SPARC|APOD|TGFB1|FXYD1|CD36|SGCA|AEBP1|LDB3|PYGM|PSEN2|COL6A3|FHL1|TNNT1|ATP6AP1|CDKN1A|MB|SORBS3|ITGA7|TCAP|MYOG|PFKM|AK1|FST|IGFBP7|COL3A1|AGL|MYH1|COL1A1|ENO3|GADD45B|MYL7|MYH8|SCD|MYOM2|CDH13|CLU
HALLMARK_ADIPOGENESIS	0.00318877551020408	0.0079719387755102	-0.315147981527463	-1.49221162745543	14	189	CMBL|REEP6|REEP5|CYP4B1|ADCY6|FAH|SULT1A1|PTGER3|CCNG2|LTC4S|SLC27A1|CRAT|ELMOD3|TOB1|COQ5|HSPB8|OMD|RETSAT|SPARCL1|QDPR|LIPE|FZD4|BAZ2A|PRDX3|UQCRQ|ARAF|ACADS|MGLL|SNCG|EPHX2|ABCB8|STOM|PDCD4|GPX4|BCKDHA|DHRS7B|FABP4|GPHN|NKIRAS1|ADIPOQ|LIFR|CD36|ALDOA|ITSN1|PHLDB1|UQCR11|PFKFB3|DHRS7|ITIH5|ESYT1|CD302|NDUFA5|ECH1|CD151|SCP2|GPAM|MRAP|ALDH2|CIDEA|ITGA7|ECHS1|PPARG|UCK1|VEGFB|CAT|ADIPOR2|LEP|CPT2
HALLMARK_FATTY_ACID_METABOLISM	0.00441919191919192	0.0105218855218855	-0.321829145778406	-1.48173342189299	20	153	SLC22A5|REEP6|HSD17B4|HMGCL|BLVRA|ELOVL5|ALAD|LTC4S|CRAT|HMGCS2|GLUL|ACOT2|UGDH|RETSAT|HSDL2|SUCLG2|D2HGDH|CYP4A11|ETFDH|CPT1A|GSTZ1|FASN|ALDH3A2|DHCR24|BMPR1B|SERINC1|PDHB|ACADS|MGLL|INMT|PSME1|MAOA|ACADVL|AUH|AOC3|AQP7|RDH16|CA4|CYP4A22|ADH1C|GPD1|CD36|ALDOA|ACSS1|SUCLA2|MCEE|EPHX1|ECH1|HSD17B11|PTPRG|ACAA1|CIDEA|ECHS1|HPGD|ADIPOR2|XIST|CPT2|ENO2|ENO3
HALLMARK_UV_RESPONSE_DN	0.0121695342005875	0.0276580322740625	-0.313717015730483	-1.42376230815755	57	137	INPP4B|APBB2|BHLHE40|IRS1|IGF1R|AGGF1|SPOP|RXRA|SLC22A18|KCNMA1|SMAD3|PTEN|AMPH|DUSP1|MAP2K5|PDGFRB|DBP|ICA1|ERBB2|MGLL|CITED2|GJA1|CDON|IGFBP5|RBPMS|MAGI2|PTPRM|ATXN1|MGMT|CAP2|PMP22|LPAR1|ZMIZ1|SYNE1|CAV1|RUNX1|COL1A2|DLC1|MIOS|PPARG|MMP16|COL3A1|YTHDC1|PRKAR2B|COL1A1|CDKN1B|BDNF|ATP2B1|RGS4|TGFBR2|DAB2|PRDM2|SMAD7|COL5A2|TGFBR3|SERPINE1|PIAS3
HALLMARK_P53_PATHWAY	0.023171768707483	0.0482745181405896	-0.278987140442941	-1.32170032646701	108	190	ANKRA2|ABAT|HEXIM1|CGRRF1|WWP1|BTG2|KIF13B|ACVR1B|GLS2|XPC|PRKAB1|CTSF|SLC19A2|RXRA|FUCA1|SERTAD3|TOB1|NINJ1|SESN1|ZBTB16|RB1|RETSAT|RPS27L|ISCU|MKNK2|ABHD4|DCXR|MXD4|RAB40C|DDB2|FDXR|PHLDA3|TSPYL2|ZNF365|BLCAP|TSC22D1|FOS|GPX2|RRP8|STOM|BAIAP2|VWA5A|IER3|TXNIP|CCNG1|SP1|IP6K2|TGFB1|KLF4|F2R|TRAFD1|CEBPA|MDM2|CDKN2AIP|ALOX15B|ABCC5|SLC35D1|EPHX1|INHBB|NHLH2|CDKN1A|PLK2
