PC	Variance	Percent	Cumulative
PC1	0.140261979184257	14.0261979184257	14.0261979184257
PC2	0.101761110530034	10.1761110530034	24.2023089714291
PC3	0.0508591649434823	5.08591649434823	29.2882254657773
PC4	0.0433961433446932	4.33961433446932	33.6278398002466
PC5	0.0325301291307608	3.25301291307608	36.8808527133227
PC6	0.027751042595794	2.7751042595794	39.6559569729021
PC7	0.0206972007252088	2.06972007252088	41.725677045423
PC8	0.0171680688783162	1.71680688783162	43.4424839332546
PC9	0.0126746894222983	1.26746894222983	44.7099528754844
PC10	0.0108836081952447	1.08836081952447	45.7983136950089
PC11	0.0106690769752583	1.06690769752583	46.8652213925347
PC12	0.00957401769301707	0.957401769301707	47.8226231618364
PC13	0.00860731414985872	0.860731414985872	48.6833545768223
PC14	0.00714888823242275	0.714888823242275	49.3982434000646
PC15	0.00683587821897301	0.683587821897301	50.0818312219619
PC16	0.00643919913807139	0.643919913807139	50.725751135769
PC17	0.00630550033037199	0.630550033037199	51.3563011688062
PC18	0.00591136071333851	0.591136071333851	51.9474372401401
PC19	0.00553743575905309	0.553743575905309	52.5011808160454
PC20	0.00522064002017514	0.522064002017514	53.0232448180629
PC21	0.00498279963345364	0.498279963345364	53.5215247814083
PC22	0.00466220747581231	0.466220747581231	53.9877455289895
PC23	0.00455331205629467	0.455331205629467	54.4430767346189
PC24	0.00446597790549203	0.446597790549203	54.8896745251682
PC25	0.0042579754213135	0.42579754213135	55.3154720672995
PC26	0.00411574310967751	0.411574310967751	55.7270463782673
PC27	0.00391679579972216	0.391679579972216	56.1187259582395
PC28	0.00383935967544071	0.383935967544071	56.5026619257835
PC29	0.00368205347040451	0.368205347040451	56.870867272824
PC30	0.0036443550336401	0.36443550336401	57.235302776188
PC31	0.00352209494377299	0.352209494377299	57.5875122705653
PC32	0.00338346843460347	0.338346843460347	57.9258591140257
PC33	0.00335303180840511	0.335303180840511	58.2611622948662
PC34	0.00323080515584503	0.323080515584503	58.5842428104507
PC35	0.00311248348554516	0.311248348554516	58.8954911590052
PC36	0.00310032773481279	0.310032773481279	59.2055239324865
PC37	0.00301135061434521	0.301135061434521	59.506658993921
PC38	0.00296633888691386	0.296633888691386	59.8032928826124
PC39	0.00283383790742626	0.283383790742626	60.086676673355
PC40	0.00275284190952493	0.275284190952493	60.3619608643075
PC41	0.00271765005353534	0.271765005353534	60.633725869661
PC42	0.0026447110039084	0.26447110039084	60.8981969700519
PC43	0.00259480326070345	0.259480326070345	61.1576772961222
PC44	0.00256188997553702	0.256188997553702	61.4138662936759
PC45	0.00247602618023918	0.247602618023918	61.6614689116998
PC46	0.0024303419668454	0.24303419668454	61.9045031083844
PC47	0.00240134975873979	0.240134975873979	62.1446380842583
PC48	0.00234057441878482	0.234057441878482	62.3786955261368
PC49	0.00230059704955252	0.230059704955252	62.6087552310921
PC50	0.00225393529033803	0.225393529033803	62.8341487601259
PC51	0.00222926819394033	0.222926819394033	63.0570755795199
PC52	0.00217770737241812	0.217770737241812	63.2748463167617
PC53	0.00209213341015026	0.209213341015026	63.4840596577767
PC54	0.00207421583048702	0.207421583048702	63.6914812408254
PC55	0.00203649763476455	0.203649763476455	63.8951310043019
PC56	0.00199078150842438	0.199078150842438	64.0942091551443
PC57	0.00197483356964126	0.197483356964126	64.2916925121085
PC58	0.00196189110135683	0.196189110135683	64.4878816222442
PC59	0.00191296639258558	0.191296639258558	64.6791782615027
PC60	0.00185908836618186	0.185908836618186	64.8650870981209
PC61	0.00181798315156589	0.181798315156589	65.0468854132775
PC62	0.00179098786024827	0.179098786024827	65.2259841993023
PC63	0.00178439007016735	0.178439007016735	65.404423206319
PC64	0.00174979989834416	0.174979989834416	65.5794031961535
PC65	0.00174481803165865	0.174481803165865	65.7538849993193
PC66	0.00171879653784914	0.171879653784914	65.9257646531042
PC67	0.00166977861486212	0.166977861486212	66.0927425145905
PC68	0.00165859927198446	0.165859927198446	66.2586024417889
PC69	0.001637102885885	0.1637102885885	66.4223127303774
PC70	0.00160371319875732	0.160371319875732	66.5826840502531
PC71	0.00156068240703896	0.156068240703896	66.738752290957
PC72	0.00155035948640037	0.155035948640037	66.8937882395971
PC73	0.00154484685718996	0.154484685718996	67.0482729253161
PC74	0.00153076485210324	0.153076485210324	67.2013494105264
PC75	0.00149929597252841	0.149929597252841	67.3512790077792
PC76	0.00148227327212716	0.148227327212716	67.499506334992
PC77	0.00147547442884739	0.147547442884739	67.6470537778767
PC78	0.00145604743099333	0.145604743099333	67.792658520976
PC79	0.00144724691244618	0.144724691244618	67.9373832122206
PC80	0.0014365373144747	0.14365373144747	68.0810369436681
PC81	0.0014164872436358	0.14164872436358	68.2226856680317
PC82	0.0013866329608782	0.13866329608782	68.3613489641195
PC83	0.00136905069317755	0.136905069317755	68.4982540334373
PC84	0.00135778252813538	0.135778252813538	68.6340322862508
PC85	0.00133323416049417	0.133323416049417	68.7673557023002
PC86	0.00132092394028615	0.132092394028615	68.8994480963288
PC87	0.00131997022706412	0.131997022706412	69.0314451190352
PC88	0.00130863904394462	0.130863904394462	69.1623090234297
PC89	0.00128381304581574	0.128381304581574	69.2906903280113
PC90	0.00127360894389455	0.127360894389455	69.4180512224007
PC91	0.00126178245984065	0.126178245984065	69.5442294683848
PC92	0.00125103802074142	0.125103802074142	69.6693332704589
PC93	0.00122995655869865	0.122995655869865	69.7923289263288
PC94	0.00122691743226576	0.122691743226576	69.9150206695554
PC95	0.00121886710661817	0.121886710661817	70.0369073802172
PC96	0.00121200839046136	0.121200839046136	70.1581082192633
PC97	0.00120515212431681	0.120515212431681	70.278623431695
PC98	0.00117630592550533	0.117630592550533	70.3962540242455
PC99	0.00116936041500841	0.116936041500841	70.5131900657464
PC100	0.00115286869111858	0.115286869111858	70.6284769348583
PC101	0.00114186892413587	0.114186892413587	70.7426638272719
PC102	0.00113748038553735	0.113748038553735	70.8564118658256
PC103	0.00112645552823849	0.112645552823849	70.9690574186494
PC104	0.00110834791830889	0.110834791830889	71.0798922104803
PC105	0.00110417093930787	0.110417093930787	71.1903093044111
PC106	0.00108431506386226	0.108431506386226	71.2987408107973
PC107	0.00108041800995129	0.108041800995129	71.4067826117924
PC108	0.00107270986712658	0.107270986712658	71.5140535985051
PC109	0.0010644195427587	0.10644195427587	71.620495552781
PC110	0.00105239840989618	0.105239840989618	71.7257353937706
PC111	0.00104310464225606	0.104310464225606	71.8300458579962
PC112	0.00103687456894194	0.103687456894194	71.9337333148904
PC113	0.00102845783986544	0.102845783986544	72.036579098877
PC114	0.00102785668896353	0.102785668896353	72.1393647677733
PC115	0.00101261765302251	0.101261765302251	72.2406265330756
PC116	0.00100545313384535	0.100545313384535	72.3411718464601
PC117	0.000994885314850621	0.0994885314850621	72.4406603779451
PC118	0.000985596938991155	0.0985596938991155	72.5392200718443
PC119	0.000981528172313778	0.0981528172313778	72.6373728890756
PC120	0.000975684604648965	0.0975684604648965	72.7349413495405
PC121	0.000971375094866329	0.0971375094866329	72.8320788590272
PC122	0.000964125268708698	0.0964125268708698	72.928491385898
PC123	0.000957195098978309	0.0957195098978309	73.0242108957959
PC124	0.000952139988656229	0.0952139988656229	73.1194248946615
PC125	0.000944298853316239	0.0944298853316239	73.2138547799931
PC126	0.000931543933153546	0.0931543933153546	73.3070091733085
PC127	0.000924615548047859	0.0924615548047859	73.3994707281133
PC128	0.000921489739293654	0.0921489739293654	73.4916197020426
PC129	0.000915671834080312	0.0915671834080312	73.5831868854507
PC130	0.000913891082426393	0.0913891082426393	73.6745759936933
PC131	0.000903514142031666	0.0903514142031666	73.7649274078965
PC132	0.000899606194223693	0.0899606194223693	73.8548880273188
PC133	0.00089786157286577	0.089786157286577	73.9446741846054
PC134	0.000890562763700629	0.0890562763700629	74.0337304609755
PC135	0.000886782006425218	0.0886782006425218	74.122408661618
PC136	0.000875100876574601	0.0875100876574601	74.2099187492755
PC137	0.000872442304314313	0.0872442304314313	74.2971629797069
PC138	0.000864069276443423	0.0864069276443423	74.3835699073512
PC139	0.000858459258335729	0.085845925833573	74.4694158331848
PC140	0.000855407428033966	0.0855407428033966	74.5549565759882
PC141	0.000854605238304333	0.0854605238304333	74.6404170998186
PC142	0.000845390408033905	0.0845390408033905	74.724956140622
PC143	0.000842375780796356	0.0842375780796356	74.8091937187016
PC144	0.000838750451751897	0.0838750451751897	74.8930687638768
PC145	0.000828924895265522	0.0828924895265522	74.9759612534034
PC146	0.000825369755935684	0.0825369755935684	75.058498228997
PC147	0.00082288396837092	0.082288396837092	75.1407866258341
PC148	0.00082043944648497	0.082043944648497	75.2228305704826
PC149	0.000809365652665091	0.0809365652665091	75.3037671357491
PC150	0.000807695426082023	0.0807695426082023	75.3845366783573
PC151	0.000803751021730499	0.0803751021730499	75.4649117805303
PC152	0.000799164831677279	0.0799164831677279	75.544828263698
PC153	0.00079664928895161	0.079664928895161	75.6244931925932
PC154	0.000793809053078585	0.0793809053078585	75.7038740979011
PC155	0.000790286689855217	0.0790286689855217	75.7829027668866
PC156	0.000785761167440289	0.0785761167440289	75.8614788836306
PC157	0.000780841775224063	0.0780841775224063	75.939563061153
PC158	0.000780381798352619	0.0780381798352619	76.0176012409883
PC159	0.000773254318060022	0.0773254318060022	76.0949266727943
PC160	0.000769059744894378	0.0769059744894378	76.1718326472837
PC161	0.000762577572381393	0.0762577572381393	76.2480904045219
PC162	0.000756853347117969	0.0756853347117969	76.3237757392336
PC163	0.000750888857448468	0.0750888857448468	76.3988646249785
PC164	0.000748219492860978	0.0748219492860978	76.4736865742646
PC165	0.000743785336183542	0.0743785336183542	76.548065107883
PC166	0.00074191657384075	0.074191657384075	76.622256765267
PC167	0.000736939488718353	0.0736939488718353	76.6959507141389
PC168	0.000727902788270566	0.0727902788270566	76.7687409929659
PC169	0.00072581671234866	0.072581671234866	76.8413226642008
PC170	0.000724847455857817	0.0724847455857817	76.9138074097866
PC171	0.000720860548108851	0.0720860548108851	76.9858934645975
PC172	0.000715146448916869	0.0715146448916869	77.0574081094891
PC173	0.000711353757995801	0.0711353757995801	77.1285434852887
PC174	0.000703873835097624	0.0703873835097624	77.1989308687985
PC175	0.000702658456404888	0.0702658456404888	77.269196714439
PC176	0.000699897391910895	0.0699897391910895	77.3391864536301
PC177	0.00069887165162093	0.069887165162093	77.4090736187922
PC178	0.000693910741620939	0.0693910741620939	77.4784646929543
PC179	0.000693002876824396	0.0693002876824396	77.5477649806367
PC180	0.000691940024929859	0.0691940024929859	77.6169589831297
PC181	0.000688699336196692	0.0688699336196692	77.6858289167493
PC182	0.000683751700683651	0.0683751700683651	77.7542040868177
PC183	0.000680976662892056	0.0680976662892056	77.8223017531069
PC184	0.000677344827257204	0.0677344827257204	77.8900362358326
PC185	0.00067476599311266	0.067476599311266	77.9575128351439
PC186	0.000671355021544325	0.0671355021544325	78.0246483372983
PC187	0.00066890944957529	0.066890944957529	78.0915392822559
PC188	0.000667098486176123	0.0667098486176123	78.1582491308735
PC189	0.000662867828856666	0.0662867828856666	78.2245359137591
PC190	0.000661268143711581	0.0661268143711581	78.2906627281303
PC191	0.000658250477483558	0.0658250477483558	78.3564877758787
PC192	0.000655801524402996	0.0655801524402996	78.4220679283189
PC193	0.000653064140192879	0.0653064140192879	78.4873743423382
PC194	0.000651515230875918	0.0651515230875918	78.5525258654258
PC195	0.00064792697272032	0.064792697272032	78.6173185626979
PC196	0.000644911413488056	0.0644911413488056	78.6818097040467
PC197	0.000643781360302468	0.0643781360302468	78.7461878400769
PC198	0.000638634277402143	0.0638634277402143	78.8100512678171
PC199	0.000632495196430477	0.0632495196430477	78.8733007874602
PC200	0.000629202232729866	0.0629202232729866	78.9362210107332
PC201	0.000627036998724739	0.062703699872474	78.9989247106056
PC202	0.000623706394391785	0.0623706394391785	79.0612953500448
PC203	0.000621616842648649	0.0621616842648649	79.1234570343097
PC204	0.000618249179870297	0.0618249179870297	79.1852819522967
PC205	0.000617313227982265	0.0617313227982265	79.2470132750949
PC206	0.000614394770769079	0.0614394770769079	79.3084527521719
PC207	0.000611401008780553	0.0611401008780553	79.3695928530499
PC208	0.000610912967857597	0.0610912967857597	79.4306841498357
PC209	0.000606759575575862	0.0606759575575862	79.4913601073932
PC210	0.000605297379476528	0.0605297379476528	79.5518898453409
PC211	0.000602497260201936	0.0602497260201936	79.6121395713611
PC212	0.000598755756358028	0.0598755756358028	79.6720151469969
PC213	0.000597147533346495	0.0597147533346495	79.7317299003316
PC214	0.000595184425747941	0.0595184425747941	79.7912483429063
PC215	0.000593233763380823	0.0593233763380823	79.8505717192444
PC216	0.000590007385111855	0.0590007385111855	79.9095724577556
PC217	0.000587960802152013	0.0587960802152013	79.9683685379708
PC218	0.000585417131408932	0.0585417131408932	80.0269102511117
PC219	0.000584501448430792	0.0584501448430792	80.0853603959548
PC220	0.000581961284900695	0.0581961284900695	80.1435565244448
