Gene	In_ML	In_DE	In_MUT	In_STRING	Support_Count
ESR1	TRUE	TRUE	FALSE	TRUE	3
ERBB2	TRUE	TRUE	FALSE	TRUE	3
TP53	TRUE	FALSE	TRUE	TRUE	3
EGFR	TRUE	TRUE	FALSE	TRUE	3
ALB	TRUE	TRUE	FALSE	TRUE	3
TFF1	TRUE	TRUE	FALSE	TRUE	3
AGR2	TRUE	TRUE	FALSE	TRUE	3
TNF	TRUE	TRUE	FALSE	TRUE	3
GATA3	TRUE	TRUE	TRUE	FALSE	3
FAT3	TRUE	TRUE	TRUE	FALSE	3
