Gene	RF_Importance	LASSO_Coefficient	Degree	logFC	adj.P.Val	Is_Mutated	Score
L3MBTL4	0.0959319564819879	-0.0958116044152272	0	1.70439630025616	5.29323999841442e-25	FALSE	2.45466189072024
ROPN1	0.189026093969591	0	0	4.2148311059138	4.04493817674352e-52	FALSE	2.41814729849405
TMEM178	0.63451510641469	-0.0462306271380839	0	-1.65739684820136	5.08283771549074e-30	FALSE	2.4047365223505
SLC6A14	0.343622184465984	0	0	3.77220048335004	9.88218994803787e-36	FALSE	2.38366790041428
SPDEF	0.397830934643086	0	0	-3.59944136763559	1.74642223154719e-53	FALSE	2.34786900764107
CDCA2	0.903771469271313	0	0	2.20326842410069	3.01860818455129e-50	FALSE	2.30582045697486
FABP7	0.193504858532646	0	0	4.08214304710992	1.32183327614605e-33	FALSE	2.25523597689322
CHRD	0.740064422370058	0	0	-2.53034232765342	1.69043182589616e-46	FALSE	2.15100190831385
GABBR2	0.284050275520311	0	0	3.74414869584587	4.1321983213447e-63	FALSE	2.12866687556993
SCGB1D2	0.0726645836311121	0	0	-4.29454188216951	1.52163742742097e-24	FALSE	2.10174240522606
PGR	0.0953425485870082	0	0	-4.21768630359728	1.70330222795272e-42	FALSE	2.08057590319265
KRT16	0.177313360948874	0	0	3.99508156364852	1.30325982180459e-38	FALSE	2.0786242775718
ANKRD30B	0.1760597820828	0	0	-3.97402966922821	6.46549569070054e-44	FALSE	2.04561887694075
GFRA1	0.0385108037689839	0	0	-4.32933823588374	1.53992372496648e-44	FALSE	2.02427217569162
PRAME	0.180228790119439	0	0	3.93339540706092	5.12797983684252e-25	FALSE	2.00592428100702
CPB1	0.069700914671009	0	0	-4.22456816794743	1.55384255168619e-18	FALSE	1.99642135472861
CACNA2D2	0.537867634781407	0	0	-2.94983101236218	3.94955582507985e-59	FALSE	1.98074136163998
CMBL	0.761067618527032	0	0	-2.32735282770911	3.10145743415945e-66	FALSE	1.95335091444024
SYBU	0.720824767600776	0	0	-2.39621166276869	8.80273193458671e-58	FALSE	1.89970052614038
STAC	0.668620261819567	0	0	2.53545602628355	3.71698826875909e-43	FALSE	1.89753236121498
TSPAN1	0.350714263680388	0	0	-3.38787834725471	3.16199178836627e-49	FALSE	1.89037520035101
SYT9	0.115197325891004	0	0	-4.02002010023389	5.74266266077044e-45	FALSE	1.88593018725752
PIP	0.074295140974675	0	0	-4.12668167279208	8.43855730135749e-24	FALSE	1.88094054175258
DACH1	0.267877753750759	0	0	-3.58975680810781	1.56391398476431e-60	FALSE	1.86117489141888
THSD4	0.443728419406022	0	0	-3.11131577903998	5.36495978508912e-66	FALSE	1.85578500305239
KLK6	0.276378578691256	0	0	3.55178531462301	1.21638840446045e-30	FALSE	1.84086438203645
AMY1A	0.359041885106588	0	0	3.30876457734714	4.00402886411175e-55	FALSE	1.81385875265502
CA9	0.160054114307626	0	0	3.83793647176746	2.18785734818634e-37	FALSE	1.80345273306942
KCNJ3	0.155336583800762	0	0	-3.84467747633366	5.65154632953324e-25	FALSE	1.79536547099726
PLCH1	0.539505410832693	0	0	2.80744168838401	1.62840478881187e-30	FALSE	1.79437170150307
HMGCS2	0.114357808897063	0	0	-3.93910309165832	4.88373559500083e-24	FALSE	1.77356844857154
MSLN	0.0493044614296648	0	0	4.11147354048335	1.25195589820177e-41	FALSE	1.76931937216602
F7	0.295062649811717	0	0	-3.43025117050897	2.64752358616858e-47	FALSE	1.74479070242836
CYP4B1	0.268850668268421	0	0	-3.49211488584474	5.58657506500771e-42	FALSE	1.73282663316347
CAPN8	0.0275636589955638	0	0	-4.14005720013365	2.88879492010189e-52	FALSE	1.72869597556242
HAPLN3	0.753293600706983	0	0	2.17406129858559	5.78767282510093e-48	FALSE	1.71795349980774
MAPT	0.276310376366702	0	0	-3.45786024501615	4.21456318529306e-55	FALSE	1.7137424888921
ZIC1	0.185790044840208	0	0	3.70089530459963	5.91839467617568e-45	FALSE	1.71213266292264
FZD9	0.459029051891559	0	0	2.91704412518098	8.45501999848317e-56	FALSE	1.64912711333616
SYTL5	0.120397759471927	0	0	-3.82887348257045	4.78396431944809e-50	FALSE	1.64668356201607
